pattern_id,main_mask,degree,exp_list,exp_mons
162,29,4,"[m0,m1,m8,m9,m20,m21,m28,m29]",1 + x0 + x3 + x0x3 + x2x4 + x0x2x4 + x2x3x4 + x0x2x3x4
163,29,4,"[m0,m5,m8,m13,m16,m21,m24,m29]",1 + x0x2 + x3 + x0x2x3 + x4 + x0x2x4 + x3x4 + x0x2x3x4
164,29,4,"[m0,m5,m24,m29]",1 + x0x2 + x3x4 + x0x2x3x4
165,29,4,"[m0,m13,m16,m29]",1 + x0x2x3 + x4 + x0x2x3x4
166,29,4,"[m0,m29]",1 + x0x2x3x4
167,29,4,"[m0,m8,m21,m29]",1 + x3 + x0x2x4 + x0x2x3x4
168,29,4,"[m0,m4,m9,m13,m16,m20,m25,m29]",1 + x2 + x0x3 + x0x2x3 + x4 + x2x4 + x0x3x4 + x0x2x3x4
169,29,4,"[m0,m9,m20,m29]",1 + x0x3 + x2x4 + x0x2x3x4
170,29,4,"[m0,m4,m25,m29]",1 + x2 + x0x3x4 + x0x2x3x4
171,29,4,"[m0,m4,m8,m12,m17,m21,m25,m29]",1 + x2 + x3 + x2x3 + x0x4 + x0x2x4 + x0x3x4 + x0x2x3x4
172,29,4,"[m0,m12,m17,m29]",1 + x2x3 + x0x4 + x0x2x3x4
173,30,4,"[m28,m30]",x2x3x4 + x1x2x3x4
174,30,4,"[m26,m30]",x1x3x4 + x1x2x3x4
175,30,4,"[m24,m26,m28,m30]",x3x4 + x1x3x4 + x2x3x4 + x1x2x3x4
176,30,4,"[m24,m30]",x3x4 + x1x2x3x4
177,30,4,"[m22,m30]",x1x2x4 + x1x2x3x4
178,30,4,"[m20,m22,m28,m30]",x2x4 + x1x2x4 + x2x3x4 + x1x2x3x4
179,30,4,"[m20,m30]",x2x4 + x1x2x3x4
180,30,4,"[m18,m22,m26,m30]",x1x4 + x1x2x4 + x1x3x4 + x1x2x3x4
181,30,4,"[m18,m30]",x1x4 + x1x2x3x4
182,30,4,"[m16,m18,m20,m22,m24,m26,m28,m30]",x4 + x1x4 + x2x4 + x1x2x4 + x3x4 + x1x3x4 + x2x3x4 + x1x2x3x4
183,30,4,"[m16,m18,m28,m30]",x4 + x1x4 + x2x3x4 + x1x2x3x4
184,30,4,"[m16,m22,m24,m30]",x4 + x1x2x4 + x3x4 + x1x2x3x4
185,30,4,"[m16,m30]",x4 + x1x2x3x4
186,30,4,"[m16,m20,m26,m30]",x4 + x2x4 + x1x3x4 + x1x2x3x4
187,30,4,"[m14,m30]",x1x2x3 + x1x2x3x4
188,30,4,"[m12,m14,m28,m30]",x2x3 + x1x2x3 + x2x3x4 + x1x2x3x4
189,30,4,"[m12,m30]",x2x3 + x1x2x3x4
190,30,4,"[m10,m14,m26,m30]",x1x3 + x1x2x3 + x1x3x4 + x1x2x3x4
191,30,4,"[m10,m30]",x1x3 + x1x2x3x4
192,30,4,"[m8,m10,m12,m14,m24,m26,m28,m30]",x3 + x1x3 + x2x3 + x1x2x3 + x3x4 + x1x3x4 + x2x3x4 + x1x2x3x4
193,30,4,"[m8,m10,m28,m30]",x3 + x1x3 + x2x3x4 + x1x2x3x4
194,30,4,"[m8,m14,m24,m30]",x3 + x1x2x3 + x3x4 + x1x2x3x4
195,30,4,"[m8,m30]",x3 + x1x2x3x4
196,30,4,"[m8,m12,m26,m30]",x3 + x2x3 + x1x3x4 + x1x2x3x4
197,30,4,"[m6,m14,m22,m30]",x1x2 + x1x2x3 + x1x2x4 + x1x2x3x4
198,30,4,"[m6,m30]",x1x2 + x1x2x3x4
199,30,4,"[m4,m6,m12,m14,m20,m22,m28,m30]",x2 + x1x2 + x2x3 + x1x2x3 + x2x4 + x1x2x4 + x2x3x4 + x1x2x3x4
200,30,4,"[m4,m6,m28,m30]",x2 + x1x2 + x2x3x4 + x1x2x3x4
201,30,4,"[m4,m14,m20,m30]",x2 + x1x2x3 + x2x4 + x1x2x3x4
202,30,4,"[m4,m30]",x2 + x1x2x3x4
203,30,4,"[m4,m12,m22,m30]",x2 + x2x3 + x1x2x4 + x1x2x3x4
204,30,4,"[m2,m6,m10,m14,m18,m22,m26,m30]",x1 + x1x2 + x1x3 + x1x2x3 + x1x4 + x1x2x4 + x1x3x4 + x1x2x3x4
205,30,4,"[m2,m6,m26,m30]",x1 + x1x2 + x1x3x4 + x1x2x3x4
206,30,4,"[m2,m14,m18,m30]",x1 + x1x2x3 + x1x4 + x1x2x3x4
207,30,4,"[m2,m30]",x1 + x1x2x3x4
208,30,4,"[m2,m10,m22,m30]",x1 + x1x3 + x1x2x4 + x1x2x3x4
